the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,ntaname,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,hrcevac,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.96294055953052, 40.80931572344542]}",1,Manhattan,109,7,69,30,13,Broadway mid-block at West 118 Street,Manhattan,2023-10-07T00:00:00.000,-73.962942,40.809324,X,AREA OF MINIMAL FLOOD HAZARD,Morningside Heights,37,4,23,17,,12424
"{'type': 'Point', 'coordinates': [-73.86701958880816, 40.8222937175528]}",2,Bronx,209,18,85,34,14,Soundview Avenue and Rosedale Avenue,Bronx,2024-07-10T00:00:00.000,-73.867021,40.822302,X,AREA OF MINIMAL FLOOD HAZARD,Soundview-Clason Point,58,5,31,26,4,11611
"{'type': 'Point', 'coordinates': [-73.84736259248288, 40.87104670727769]}",2,Bronx,212,12,83,36,15,East Gun Hill Road with Young Avenue and Fish Avenue,Bronx,2022-06-15T00:00:00.000,-73.847364,40.871055,X,AREA OF MINIMAL FLOOD HAZARD,Eastchester-Edenwald-Baychester,29,5,2,30,,11607
"{'type': 'Point', 'coordinates': [-73.90993957366582, 40.85649571226948]}",2,Bronx,205,14,86,33,13,University Avenue and 260' South of 181 Street,Bronx,2019-02-28T00:00:00.000,-73.909941,40.856504,X,AREA OF MINIMAL FLOOD HAZARD,University Heights (South)-Morris Heights,6,5,29,29,,10931
"{'type': 'Point', 'coordinates': [-73.90702957596075, 40.82580271798127]}",2,Bronx,203,17,79,32,15,Boston Road and East 165 Street,Bronx,2022-08-25T00:00:00.000,-73.907031,40.825811,X,AREA OF MINIMAL FLOOD HAZARD,Morrisania,34,5,42,25,,10934
"{'type': 'Point', 'coordinates': [-73.78614762062075, 40.7390457309627]}",4,Queens,408,23,25,16,6,64 Avenue (West Leg) and 188 Street,Queens,2021-08-09T00:00:00.000,-73.786149,40.739054,X,AREA OF MINIMAL FLOOD HAZARD,Fresh Meadows-Utopia,25,3,16,65,,14507
"{'type': 'Point', 'coordinates': [-73.97832456507554, 40.64325975655755]}",3,Brooklyn,312,39,44,20,9,Church Avenue and East   2 Street,Brooklyn,,-73.978326,40.643268,X,AREA OF MINIMAL FLOOD HAZARD,Kensington,2,2,27,39,,17620
"{'type': 'Point', 'coordinates': [-73.99587355359425, 40.73867773850168]}",1,Manhattan,104,3,66,28,10,6 Avenue and West  16 Street,Manhattan,2019-08-08T00:00:00.000,-73.995875,40.738686,X,AREA OF MINIMAL FLOOD HAZARD,Midtown South-Flatiron-Union Square,11,4,10,7,6,12074
"{'type': 'Point', 'coordinates': [-73.98428055567749, 40.76478273269772]}",1,Manhattan,105,3,75,28,12,8 Avenue and West  54 Street,Manhattan,2020-07-23T00:00:00.000,-73.984282,40.764791,X,AREA OF MINIMAL FLOOD HAZARD,Midtown-Times Square,11,4,10,10,,12081
"{'type': 'Point', 'coordinates': [-73.76461763622842, 40.59572675816466]}",4,Queens,414,31,23,10,5,Seagirt Boulevard and Beach  32 Street,Queens,2025-05-23T00:00:00.000,-73.764619,40.595735,AE,,Far Rockaway-Bayswater,51,3,47,59,1,20529
"{'type': 'Point', 'coordinates': [-73.77008662472622, 40.75500572679748]}",4,Queens,411,19,25,16,6,48 Avenue and 211 Street,Queens,2019-11-17T00:00:00.000,-73.770088,40.755014,X,AREA OF MINIMAL FLOOD HAZARD,Bayside,26,3,20,69,,14196
"{'type': 'Point', 'coordinates': [-73.94891457113785, 40.693896745349086]}",3,Brooklyn,303,36,56,25,8,Marcy Avenue and Willoughby Avenue,Brooklyn,2026-06-10T00:00:00.000,-73.948916,40.693905,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),69,2,49,51,6,17213
"{'type': 'Point', 'coordinates': [-73.91287157298329, 40.85009971338897]}",2,Bronx,205,14,77,33,15,West Tremont Avenue and Grand Avenue (South Leg),Bronx,2024-01-08T00:00:00.000,-73.912873,40.850108,X,AREA OF MINIMAL FLOOD HAZARD,University Heights (South)-Morris Heights,6,5,29,29,,10931
"{'type': 'Point', 'coordinates': [-73.91823757115436, 40.852859712834274]}",2,Bronx,205,14,86,31,13,West Tremont Avenue and Sedgwick Avenue,Bronx,2023-08-30T00:00:00.000,-73.918239,40.852868,X,AREA OF MINIMAL FLOOD HAZARD,University Heights (South)-Morris Heights,6,5,29,29,,10931
"{'type': 'Point', 'coordinates': [-73.90969357285535, 40.87462670864306]}",1,Manhattan,208,10,72,31,13,Broadway and West 225 Street (North Leg),Manhattan,2023-06-26T00:00:00.000,-73.909695,40.874635,X,AREA OF MINIMAL FLOOD HAZARD,Kingsbridge-Marble Hill,48,4,39,33,4,11272
"{'type': 'Point', 'coordinates': [-73.89076858191703, 40.820271718379374]}",2,Bronx,202,17,85,32,14,Bruckner Boulevard N/B and Hunts Point Avenue,Bronx,2025-03-31T00:00:00.000,-73.89077,40.82028,X,AREA OF MINIMAL FLOOD HAZARD,Hunts Point,8,5,43,24,,12343
"{'type': 'Point', 'coordinates': [-73.91640857364156, 40.829281718083756]}",2,Bronx,204,16,77,32,15,Morris Avenue and East 165 Street,Bronx,2024-07-17T00:00:00.000,-73.91641,40.82929,X,AREA OF MINIMAL FLOOD HAZARD,Concourse-Concourse Village,50,5,42,27,,10934
"{'type': 'Point', 'coordinates': [-73.91194857375979, 40.84319671475967]}",2,Bronx,204,16,77,32,15,Grand Concourse and Mount Eden Avenue East,Bronx,2023-03-07T00:00:00.000,-73.91195,40.843205,X,AREA OF MINIMAL FLOOD HAZARD,Mount Eden-Claremont (West),50,5,29,27,,10930
"{'type': 'Point', 'coordinates': [-73.8460406011207, 40.73708673349887]}",4,Queens,406,24,35,13,6,Grand Central Parkway and  62 Drive,Queens,2020-04-28T00:00:00.000,-73.846042,40.737095,AE,,Flushing Meadows-Corona Park,40,3,28,70,2,14786
"{'type': 'Point', 'coordinates': [-73.94634457510014, 40.64091175590485]}",3,Brooklyn,317,45,42,21,9,Avenue D and East 32 Street,Brooklyn,2023-05-16T00:00:00.000,-73.946346,40.64092,X,AREA OF MINIMAL FLOOD HAZARD,East Flatbush-Farragut,61,2,26,40,5,16866
"{'type': 'Point', 'coordinates': [-73.82258061780273, 40.583149763011164]}",4,Queens,414,32,23,10,5,Rockaway Beach Boulevard and Beach 102 Street (East Leg),Queens,2017-09-22T00:00:00.000,-73.822582,40.583158,X,AREA OF MINIMAL FLOOD HAZARD,Rockaway Beach-Arverne-Edgemere,51,3,41,58,1,20532
"{'type': 'Point', 'coordinates': [-73.9277595787268, 40.674877748555396]}",3,Brooklyn,308,41,55,20,9,Rochester Avenue and Bergen Street,Brooklyn,2020-09-03T00:00:00.000,-73.927761,40.674886,X,AREA OF MINIMAL FLOOD HAZARD,Crown Heights (North),16,2,49,49,,17615
"{'type': 'Point', 'coordinates': [-73.98033755809702, 40.730439739688364]}",1,Manhattan,106,2,74,27,12,Avenue A and East  14 Street,Manhattan,2022-09-19T00:00:00.000,-73.980339,40.730448,X,AREA OF MINIMAL FLOOD HAZARD,East Village,70,4,50,5,3,11729
"{'type': 'Point', 'coordinates': [-73.95731256125787, 40.811925722872296]}",1,Manhattan,109,7,69,30,13,Amsterdam Avenue between West 123 Street and La Salle Street,Manhattan,2017-01-25T00:00:00.000,-73.957314,40.811934,X,AREA OF MINIMAL FLOOD HAZARD,Morningside Heights,37,4,23,17,,12424
"{'type': 'Point', 'coordinates': [-73.96641956902748, 40.63104375782904]}",3,Brooklyn,314,45,44,21,9,Coney Island Avenue between Avenue H and Glenwood Road,Brooklyn,2020-03-28T00:00:00.000,-73.966421,40.631052,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush (West)-Ditmas Park-Parkville,60,2,26,43,,13513
"{'type': 'Point', 'coordinates': [-73.89421957836953, 40.86304871013009]}",2,Bronx,207,15,78,33,13,East Kingsbridge Road and Briggs Avenue,Bronx,2022-11-29T00:00:00.000,-73.894221,40.863057,X,AREA OF MINIMAL FLOOD HAZARD,University Heights (North)-Fordham,24,5,22,34,,10936
"{'type': 'Point', 'coordinates': [-73.92425057628321, 40.743799734373496]}",4,Queens,402,26,37,12,7,Queens Boulevard and  40 Street,Queens,2022-03-24T00:00:00.000,-73.924252,40.743808,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside,53,3,33,66,,16861
"{'type': 'Point', 'coordinates': [-73.90801858331184, 40.71299173990068]}",4,Queens,405,30,37,12,7,Metropolitan Avenue and  55 Street,Queens,2021-06-30T00:00:00.000,-73.90802,40.713,X,AREA OF MINIMAL FLOOD HAZARD,Ridgewood,54,3,34,62,,15310
"{'type': 'Point', 'coordinates': [-73.93272456665461, 40.85288871393659]}",1,Manhattan,112,10,72,31,13,Wadsworth Avenue and West 186 Street,Manhattan,2025-03-18T00:00:00.000,-73.932726,40.852897,X,AREA OF MINIMAL FLOOD HAZARD,Washington Heights (North),47,4,39,22,,13091
"{'type': 'Point', 'coordinates': [-73.86058458989397, 40.83867571356583]}",2,Bronx,209,18,87,34,14,Aileen B Ryan Oval West and Unionport Road,Bronx,2022-07-01T00:00:00.000,-73.860586,40.838684,X,AREA OF MINIMAL FLOOD HAZARD,Parkchester,58,5,31,26,,11271
"{'type': 'Point', 'coordinates': [-73.9179915852275, 40.626447757695175]}",3,Brooklyn,318,46,59,21,8,Ralph Avenue and Avenue K,Brooklyn,2026-04-08T00:00:00.000,-73.917993,40.626456,X,AREA OF MINIMAL FLOOD HAZARD,Marine Park-Mill Basin-Bergen Beach,5,2,8,38,3,13825
"{'type': 'Point', 'coordinates': [-73.91708957662341, 40.761311730861735]}",4,Queens,401,22,36,12,14,Steinway Street and  31 Avenue,Queens,2025-10-29T00:00:00.000,-73.917091,40.76132,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (East)-Woodside (North),39,3,4,72,,16860
"{'type': 'Point', 'coordinates': [-73.92471158240188, 40.62600375787998]}",3,Brooklyn,318,46,59,21,8,Avenue K and East 53 Street,Brooklyn,2023-01-30T00:00:00.000,-73.924713,40.626012,X,AREA OF MINIMAL FLOOD HAZARD,Flatlands,5,2,8,38,4,13825
"{'type': 'Point', 'coordinates': [-73.87037859398575, 40.732876735069084]}",4,Queens,404,30,39,12,6,Woodhaven Boulevard and Long Island Expressway Entrance (Pedestrian Crossing),Queens,2012-03-14T00:00:00.000,-73.87038,40.732885,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,66,3,5,68,6,14784
"{'type': 'Point', 'coordinates': [-73.92792757869134, 40.673096749013226]}",3,Brooklyn,308,41,55,20,9,Rochester Avenue and Prospect Place,Brooklyn,2023-11-01T00:00:00.000,-73.927929,40.673105,X,AREA OF MINIMAL FLOOD HAZARD,Crown Heights (North),16,2,49,49,,17615
"{'type': 'Point', 'coordinates': [-73.94700756544628, 40.78837072644692]}",1,Manhattan,111,8,68,29,13,3 Avenue and East 101 Street,Manhattan,2023-05-22T00:00:00.000,-73.947009,40.788379,X,AREA OF MINIMAL FLOOD HAZARD,East Harlem (South),7,4,35,14,4,12426
"{'type': 'Point', 'coordinates': [-74.09282153082586, 40.60180276822342]}",5,Staten Island,502,50,64,23,11,Richmond Road and Rome Avenue,Staten Island,2024-09-30T00:00:00.000,-74.092823,40.601811,X,AREA OF MINIMAL FLOOD HAZARD,Grasmere-Arrochar-South Beach-Dongan Hills,30,1,14,76,,10691
"{'type': 'Point', 'coordinates': [-73.79283461828054, 40.728415732971996]}",4,Queens,408,24,25,16,6,Utopia Parkway and  75 Avenue,Queens,2022-05-03T00:00:00.000,-73.792836,40.728424,X,AREA OF MINIMAL FLOOD HAZARD,Pomonok-Electchester-Hillcrest,25,3,24,65,,14508
"{'type': 'Point', 'coordinates': [-73.77630262685281, 40.67487674279142]}",4,Queens,412,28,32,10,5,Guy R Brewer Boulevard and 132 Avenue,Queens,2023-06-23T00:00:00.000,-73.776304,40.674885,X,AREA OF MINIMAL FLOOD HAZARD,Springfield Gardens (North)-Rochdale Village,41,3,46,71,5,24669
"{'type': 'Point', 'coordinates': [-74.16833750765868, 40.57886877594881]}",5,Staten Island,502,51,63,24,11,Platinum Avenue and Ring Road,Staten Island,2022-11-18T00:00:00.000,-74.168339,40.578877,X,AREA OF MINIMAL FLOOD HAZARD,New Springville-Willowbrook-Bulls Head-Travis,30,1,9,75,5,10700
"{'type': 'Point', 'coordinates': [-73.9537175637394, 40.782046727930584]}",1,Manhattan,108,5,73,28,12,Lexington Avenue and East  90 Street,Manhattan,2024-12-27T00:00:00.000,-73.953719,40.782055,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Carnegie Hill,23,4,1,11,,10099
"{'type': 'Point', 'coordinates': [-74.1675885052501, 40.623112766960965]}",5,Staten Island,501,49,63,23,11,South Avenue and Lisk Avenue,Staten Island,2025-06-05T00:00:00.000,-74.16759,40.623121,X,AREA OF MINIMAL FLOOD HAZARD,Mariner's Harbor-Arlington-Graniteville,4,1,13,75,2,10371
"{'type': 'Point', 'coordinates': [-73.8876125826884, 40.829328716310705]}",2,Bronx,203,17,85,32,14,West Farms Road and Freeman Street,Bronx,2026-06-17T00:00:00.000,-73.887614,40.829337,X,AREA OF MINIMAL FLOOD HAZARD,Crotona Park East,34,5,43,25,,10937
"{'type': 'Point', 'coordinates': [-73.98862855495, 40.74280973690219]}",1,Manhattan,105,3,74,28,12,5 Avenue and West  25 Street,Manhattan,2023-05-11T00:00:00.000,-73.98863,40.742818,X,AREA OF MINIMAL FLOOD HAZARD,Midtown South-Flatiron-Union Square,11,4,50,7,,12073
"{'type': 'Point', 'coordinates': [-73.99384456188858, 40.596133766268785]}",3,Brooklyn,311,47,47,17,11,Bath Avenue and Bay  35 Street,Brooklyn,2025-10-02T00:00:00.000,-73.993846,40.596142,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Gravesend (West),1,2,45,37,2,17616
"{'type': 'Point', 'coordinates': [-73.81904961789891, 40.609562757189366]}",4,Queens,414,32,23,10,5,Cross Bay Boulevard and   6 Road,Queens,2023-04-14T00:00:00.000,-73.819051,40.609571,AE,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,51,3,41,58,1,20531
"{'type': 'Point', 'coordinates': [-73.85465159236699, 40.83388071493274]}",2,Bronx,209,18,87,34,14,Westchester Avenue and Olmstead Avenue,Bronx,2025-04-22T00:00:00.000,-73.854653,40.833889,X,AREA OF MINIMAL FLOOD HAZARD,Castle Hill-Unionport,58,5,31,26,,11271
"{'type': 'Point', 'coordinates': [-73.88104358316794, 40.85559371159483]}",2,Bronx,206,15,78,33,15,Southern Boulevard and 400' South of East Fordham Road,Bronx,2019-03-11T00:00:00.000,-73.881045,40.855602,X,AREA OF MINIMAL FLOOD HAZARD,Belmont,35,5,22,31,,10936
"{'type': 'Point', 'coordinates': [-73.87136358286637, 40.90003170223186]}",2,Bronx,226,11,81,36,15,Van Cortlandt Park East and Between East 239 Street and Oneida Avenue,Bronx,2019-03-11T00:00:00.000,-73.871365,40.90004,X,AREA OF MINIMAL FLOOD HAZARD,Wakefield-Woodlawn,29,5,40,30,,11608
"{'type': 'Point', 'coordinates': [-73.96314456565725, 40.70101474468142]}",3,Brooklyn,301,33,52,18,7,Kent Avenue and Hooper Street,Brooklyn,2013-11-05T00:00:00.000,-73.963146,40.701023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,South Williamsburg,36,2,38,56,2,17613
"{'type': 'Point', 'coordinates': [-73.921649749568, 40.83888817225756]}",2,Bronx,204,16,77,29,15,Edward L Grant Highway and West 169 Street (North Leg),Bronx,2026-03-30T00:00:00.000,-73.9216511787,40.8388964563,X,AREA OF MINIMAL FLOOD HAZARD,Highbridge,50,5,42,27,,10930
"{'type': 'Point', 'coordinates': [-73.9070455848684, 40.68538674539586]}",3,Brooklyn,304,37,54,18,7,Chauncey Street and Evergreen Avenue,Brooklyn,2023-05-05T00:00:00.000,-73.907047,40.685395,X,AREA OF MINIMAL FLOOD HAZARD,Bushwick (East),42,2,37,53,,17214
"{'type': 'Point', 'coordinates': [-73.93579657125451, 40.75578773271088]}",4,Queens,401,26,36,59,7,Crescent Street and  38 Avenue,Queens,2024-11-14T00:00:00.000,-73.935798,40.755796,X,AREA OF MINIMAL FLOOD HAZARD,Queensbridge-Ravenswood-Dutch Kills,39,3,33,72,,16858
"{'type': 'Point', 'coordinates': [-73.97460956541278, 40.650332754309424]}",3,Brooklyn,307,39,44,20,10,Ocean Parkway W/B Outer Roadway and East 7 Street,Brooklyn,2025-04-16T00:00:00.000,-73.974611,40.650341,X,AREA OF MINIMAL FLOOD HAZARD,Windsor Terrace-South Slope,9,2,27,45,,17620
"{'type': 'Point', 'coordinates': [-74.07804753538879, 40.59421976913201]}",5,Staten Island,502,50,64,23,11,McClean Avenue with Reid Avenue and Norway Avenue,Staten Island,2024-10-17T00:00:00.000,-74.078049,40.594228,X,AREA OF MINIMAL FLOOD HAZARD,Grasmere-Arrochar-South Beach-Dongan Hills,30,1,14,76,3,10692
"{'type': 'Point', 'coordinates': [-73.93646356583167, 40.840473715807484]}",1,Manhattan,112,10,72,31,13,Amsterdam Avenue and West 169 Street,Manhattan,2025-09-10T00:00:00.000,-73.936465,40.840482,X,AREA OF MINIMAL FLOOD HAZARD,Washington Heights (South),47,4,39,21,,13090
"{'type': 'Point', 'coordinates': [-74.08574753089783, 40.633946762279486]}",5,Staten Island,501,49,61,23,11,Victory Boulevard and Cebra Avenue,Staten Island,2022-06-10T00:00:00.000,-74.085749,40.633955,X,AREA OF MINIMAL FLOOD HAZARD,West New Brighton-Silver Lake-Grymes Hill,4,1,13,74,,10691
"{'type': 'Point', 'coordinates': [-74.09761556842592, 40.57476435387066]}",5,Staten Island,502,50,64,24,11,Midland Avenue and Mason Avenue,Staten Island,2024-04-05T00:00:00.000,-74.0976170378,40.5747725798,AE,,New Dorp-Midland Beach,30,1,14,76,2,10693
"{'type': 'Point', 'coordinates': [-73.89859958729947, 40.697426743221385]}",4,Queens,405,34,38,12,7,Decatur Street and Seneca Avenue,Queens,2024-05-02T00:00:00.000,-73.898601,40.697435,X,AREA OF MINIMAL FLOOD HAZARD,Ridgewood,54,3,30,62,,15310
"{'type': 'Point', 'coordinates': [-73.93419656619159, 40.85320471334686]}",1,Manhattan,112,10,72,31,13,Broadway and West 186 Street,Manhattan,2023-06-09T00:00:00.000,-73.934198,40.853213,X,AREA OF MINIMAL FLOOD HAZARD,Washington Heights (North),47,4,39,22,,13091
"{'type': 'Point', 'coordinates': [-73.88267758788383, 40.761639729665724]}",4,Queens,403,22,34,13,14,30 Avenue and  86 Street,Queens,2022-09-21T00:00:00.000,-73.882679,40.761648,X,AREA OF MINIMAL FLOOD HAZARD,East Elmhurst,65,3,4,73,6,14511
"{'type': 'Point', 'coordinates': [-73.90629558014209, 40.75982273118898]}",4,Queens,401,22,34,12,14,Hobart Street and  30 Avenue,Queens,2019-12-18T00:00:00.000,-73.906297,40.759831,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (East)-Woodside (North),39,3,4,72,,14787
"{'type': 'Point', 'coordinates': [-73.93195657300154, 40.75196773356926]}",4,Queens,401,26,36,12,7,Northern Boulevard and  39 Avenue,Queens,2024-09-26T00:00:00.000,-73.931958,40.751976,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside Yards (North),39,3,33,72,4,16858
"{'type': 'Point', 'coordinates': [-73.88397558053877, 40.87854870708404]}",2,Bronx,207,11,80,33,15,Mosholu Parkway and Grand Concourse Northbound,Bronx,2023-09-19T00:00:00.000,-73.883977,40.878557,X,AREA OF MINIMAL FLOOD HAZARD,Norwood,24,5,40,34,,11605
"{'type': 'Point', 'coordinates': [-74.15690651089885, 40.589983772894826]}",5,Staten Island,502,51,63,24,11,Travis Avenue and Nehring Avenue,Staten Island,2025-02-24T00:00:00.000,-74.156908,40.589992,X,AREA OF MINIMAL FLOOD HAZARD,New Springville-Willowbrook-Bulls Head-Travis,30,1,9,75,,10700
"{'type': 'Point', 'coordinates': [-73.9166025776633, 40.75783973127606]}",4,Queens,401,22,36,12,7,Broadway and 43 Street,Queens,2025-03-13T00:00:00.000,-73.916604,40.757848,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (East)-Woodside (North),39,3,33,72,,16860
"{'type': 'Point', 'coordinates': [-73.88188158133039, 40.86831170882805]}",2,Bronx,207,11,78,33,15,Webster Avenue and East 201 Street,Bronx,2025-07-22T00:00:00.000,-73.881883,40.86832,X,AREA OF MINIMAL FLOOD HAZARD,Norwood,24,5,40,34,,10936
"{'type': 'Point', 'coordinates': [-74.06273954057146, 40.5952177684993]}",5,Staten Island,502,50,64,23,11,Father Capodanno Boulevard and Ocean Avenue,Staten Island,2024-11-20T00:00:00.000,-74.062741,40.595226,X,AREA OF MINIMAL FLOOD HAZARD,Grasmere-Arrochar-South Beach-Dongan Hills,30,1,14,76,5,10692
"{'type': 'Point', 'coordinates': [-73.93733950425758, 40.70269834017685]}",3,Brooklyn,301,34,53,18,7,Bushwick Avenue and Cook Street,Brooklyn,2026-04-02T00:00:00.000,-73.9373409302,40.702706597,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,56,5,17213
"{'type': 'Point', 'coordinates': [-73.88695958239136, 40.835086715881395]}",2,Bronx,203,17,79,32,14,Vyse Avenue and East 173 Street,Bronx,2025-12-16T00:00:00.000,-73.886961,40.835095,X,AREA OF MINIMAL FLOOD HAZARD,Crotona Park East,34,5,43,25,,11269
"{'type': 'Point', 'coordinates': [-73.77162162803084, 40.69295373889611]}",4,Queens,412,27,29,14,5,Linden Boulevard with 177 Place and 114 Road,Queens,2026-02-06T00:00:00.000,-73.771623,40.692962,X,AREA OF MINIMAL FLOOD HAZARD,St. Albans,41,3,6,71,6,24669
"{'type': 'Point', 'coordinates': [-73.97938456694712, 40.60103576425849]}",3,Brooklyn,311,43,47,17,11,Avenue S and West  7 Street,Brooklyn,2020-01-09T00:00:00.000,-73.979386,40.601044,X,AREA OF MINIMAL FLOOD HAZARD,Gravesend (West),1,2,45,37,5,18183
"{'type': 'Point', 'coordinates': [-73.99733756149229, 40.59854376604736]}",3,Brooklyn,311,47,47,17,11,Bay Parkway and Bath Avenue,Brooklyn,2025-07-23T00:00:00.000,-73.997339,40.598552,X,AREA OF MINIMAL FLOOD HAZARD,Gravesend (West),1,2,45,37,5,17616
"{'type': 'Point', 'coordinates': [-73.88654838539412, 40.660319968584105]}",3,Brooklyn,305,42,60,19,8,Linden Boulevard and Miller Avenue,Brooklyn,2025-03-12T00:00:00.000,-73.8865497927,40.6603282187,X,AREA OF MINIMAL FLOOD HAZARD,East New York-New Lots,45,2,25,47,3,17214
"{'type': 'Point', 'coordinates': [-73.92189457063257, 40.83846271631171]}",2,Bronx,204,16,84,29,15,Edward L Grant Highway and West 169 Street (South Leg),Bronx,2016-08-18T00:00:00.000,-73.921896,40.838471,X,AREA OF MINIMAL FLOOD HAZARD,Mount Eden-Claremont (West),50,5,42,27,6,10930
"{'type': 'Point', 'coordinates': [-73.88595058086966, 40.858840711054135]}",2,Bronx,206,15,78,33,15,East Fordham Road and Hoffman Street,Bronx,2024-05-23T00:00:00.000,-73.885952,40.858849,X,AREA OF MINIMAL FLOOD HAZARD,Belmont,35,5,22,31,,10936
"{'type': 'Point', 'coordinates': [-73.96277615252161, 40.715098376745246]}",3,Brooklyn,301,34,50,59,7,Grand Street and Berry Street,Brooklyn,2024-08-16T00:00:00.000,-73.962777587,40.7151066349,X,AREA OF MINIMAL FLOOD HAZARD,Williamsburg,36,2,30,56,,17613
"{'type': 'Point', 'coordinates': [-74.20961149796676, 40.525219787597415]}",5,Staten Island,503,51,62,24,11,Amboy Road and Maguire Avenue,Staten Island,2026-02-13T00:00:00.000,-74.209613,40.525228,AE,,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,2,10696
"{'type': 'Point', 'coordinates': [-73.76366862835002, 40.732813731217895]}",4,Queens,411,23,24,11,6,Union Turnpike and Hollis Hills Terrace,Queens,2024-10-10T00:00:00.000,-73.76367,40.732822,X,AREA OF MINIMAL FLOOD HAZARD,Oakland Gardens-Hollis Hills,26,3,16,69,,24336
"{'type': 'Point', 'coordinates': [-73.89325858113685, 40.82699371726056]}",2,Bronx,203,17,85,32,14,East 169 Street and Fox Street,Bronx,2023-06-01T00:00:00.000,-73.89326,40.827002,X,AREA OF MINIMAL FLOOD HAZARD,Crotona Park East,34,5,43,25,,10937
"{'type': 'Point', 'coordinates': [-73.98535955678847, 40.73578173817233]}",1,Manhattan,106,2,74,59,12,3 Avenue and East  18 Street,Manhattan,2026-04-10T00:00:00.000,-73.985361,40.73579,X,AREA OF MINIMAL FLOOD HAZARD,Gramercy,71,4,50,7,6,11724
"{'type': 'Point', 'coordinates': [-73.86743158844249, 40.84467071284034]}",2,Bronx,211,13,80,33,14,Morris Park Avenue with Amethyst Street and Unionport Road,Bronx,2023-07-27T00:00:00.000,-73.867433,40.844679,X,AREA OF MINIMAL FLOOD HAZARD,Pelham Parkway-Van Nest,59,5,22,32,,11271
"{'type': 'Point', 'coordinates': [-73.9811325558073, 40.77928272976711]}",1,Manhattan,107,6,67,47,12,Amsterdam Avenue and West  73 Street,Manhattan,2019-11-01T00:00:00.000,-73.981134,40.779291,X,AREA OF MINIMAL FLOOD HAZARD,Upper West Side-Lincoln Square,20,4,19,12,,12420
"{'type': 'Point', 'coordinates': [-73.88897458711625, 40.749249731958194]}",4,Queens,403,25,39,13,14,37 Avenue and  77 Street,Queens,2026-06-12T00:00:00.000,-73.888976,40.749258,X,AREA OF MINIMAL FLOOD HAZARD,Jackson Heights,65,3,5,73,,14783
"{'type': 'Point', 'coordinates': [-73.92541057943528, 40.670270748770356]}",3,Brooklyn,308,41,55,20,9,Buffalo Avenue and Saint John's Place,Brooklyn,2023-10-31T00:00:00.000,-73.925412,40.670279,X,AREA OF MINIMAL FLOOD HAZARD,Crown Heights (North),16,2,17,49,,17615
"{'type': 'Point', 'coordinates': [-73.9889615634428, 40.596215765471456]}",3,Brooklyn,311,43,47,17,11,Benson Avenue and  25 Avenue,Brooklyn,2024-12-12T00:00:00.000,-73.988963,40.596224,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Gravesend (West),1,2,45,37,2,17616
"{'type': 'Point', 'coordinates': [-73.93545557200977, 40.740060735940084]}",4,Queens,402,26,37,12,7,Hunters Point Avenue and 31 Place,Queens,2022-06-25T00:00:00.000,-73.935457,40.740069,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside,53,3,33,66,4,16858
"{'type': 'Point', 'coordinates': [-73.84622560396335, 40.684908743555745]}",4,Queens,409,32,38,15,5,Woodhaven Boulevard N/B S/R and 200' North of 101 Avemue,Queens,2023-09-11T00:00:00.000,-73.846227,40.684917,X,AREA OF MINIMAL FLOOD HAZARD,Ozone Park (North),46,3,41,60,6,24012
"{'type': 'Point', 'coordinates': [-73.8602225970648, 40.729346734874134]}",4,Queens,406,30,28,15,6,Queens Boulevard with  64 Avenue and  64 Road,Queens,2021-03-30T00:00:00.000,-73.860224,40.729355,X,AREA OF MINIMAL FLOOD HAZARD,Rego Park,40,3,28,70,,14785
"{'type': 'Point', 'coordinates': [-74.18192550610706, 40.53555478468774]}",5,Staten Island,503,51,62,24,11,Amboy Road with Philip Avenue and Albee Avenue,Staten Island,2023-12-11T00:00:00.000,-74.181927,40.535563,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,,10699
